Energy/keV,SE/counts,Energy_BSE/keV,Primary/counts,Primary100
1.52E+02,0,253,0.00539,0.539
1.52E+02,0,254,0.00564,0.564
1.53E+02,0,255,0.00653,0.653
1.53E+02,0,256,0.00644,0.644
1.54E+02,0,257,0.00678,0.678
1.55E+02,0.00001,258,0.00727,0.727
1.55E+02,0,259,0.00745,0.745
1.56E+02,0,260,0.00805,0.805
1.56E+02,0,261,0.00782,0.782
1.57E+02,0,262,0.00898,0.898
1.58E+02,0,263,0.0098,0.98
1.58E+02,0,264,0.00992,0.992
1.59E+02,0,265,0.01018,1.018
1.59E+02,0,266,0.01159,1.159
1.60E+02,0,267,0.01172,1.172
1.61E+02,0,268,0.0132,1.32
1.61E+02,0,269,0.01371,1.371
1.62E+02,0,270,0.01382,1.382
1.62E+02,0,271,0.01641,1.641
1.63E+02,0,272,0.01765,1.765
1.64E+02,0,273,0.01767,1.767
1.64E+02,0,274,0.01981,1.981
1.65E+02,0,275,0.0219,2.19
1.65E+02,0,276,0.02421,2.421
1.66E+02,0,277,0.02536,2.536
1.67E+02,0,278,0.02785,2.785
1.67E+02,0,279,0.03133,3.133
1.68E+02,0,280,0.03409,3.409
1.68E+02,0,281,0.03928,3.928
1.69E+02,0,282,0.04433,4.433
1.70E+02,0,283,0.05398,5.398
1.70E+02,0,284,0.06116,6.116
1.71E+02,0,285,0.09188,9.188
1.71E+02,0,286,0.13673,13.673
1.72E+02,0,287,0.10793,10.793
1.73E+02,0,288,0.18321,18.321
1.73E+02,0,289,0.12037,12.037
1.74E+02,0,290,0.14552,14.552
1.74E+02,0,291,0.18533,18.533
1.75E+02,0,292,0.24278,24.278
1.76E+02,0,293,0.32907,32.907
1.76E+02,0,294,0.4835,48.35
1.77E+02,0,295,0.79291,79.291
1.77E+02,0,296,1.51955,151.955
1.78E+02,0,297,4.04457,404.457
1.79E+02,0,298,6.15159,615.159
1.79E+02,0,299,27.11674,2711.674
1.80E+02,0,300,48.36314,4836.314
1.80E+02,0,,,
1.81E+02,0.00001,,,
1.82E+02,0,,,
1.82E+02,0,,,
1.83E+02,0,,,
1.83E+02,0,,,
1.84E+02,0,,,
1.85E+02,0,,,
1.85E+02,0,,,
1.86E+02,0,,,
1.86E+02,0,,,
1.87E+02,0,,,
1.88E+02,0,,,
1.88E+02,0,,,
1.89E+02,0,,,
1.89E+02,0,,,
1.90E+02,0,,,
1.91E+02,0,,,
1.91E+02,0,,,
1.92E+02,0,,,
1.92E+02,0.00001,,,
1.93E+02,0,,,
1.94E+02,0,,,
1.94E+02,0,,,
1.95E+02,0,,,
1.95E+02,0,,,
1.96E+02,0,,,
1.97E+02,0,,,
1.97E+02,0,,,
1.98E+02,0,,,
1.98E+02,0,,,
1.99E+02,0,,,
2.00E+02,0,,,
2.00E+02,0,,,
2.01E+02,0,,,
2.01E+02,0,,,
2.02E+02,0,,,
2.03E+02,0,,,
2.03E+02,0,,,
2.04E+02,0.00001,,,
2.04E+02,0,,,
2.05E+02,0,,,
2.06E+02,0,,,
2.06E+02,0,,,
2.07E+02,0,,,
2.07E+02,0,,,
2.08E+02,0,,,
2.09E+02,0,,,
2.09E+02,0,,,
2.10E+02,0,,,
2.10E+02,0,,,
2.11E+02,0,,,
2.12E+02,0,,,
2.12E+02,0,,,
2.13E+02,0,,,
2.13E+02,0,,,
2.14E+02,0,,,
2.15E+02,0,,,
2.15E+02,0.00001,,,
2.16E+02,0,,,
2.16E+02,0,,,
2.17E+02,0,,,
2.18E+02,0,,,
2.18E+02,0,,,
2.19E+02,0,,,
2.19E+02,0,,,
2.20E+02,0,,,
2.21E+02,0,,,
2.21E+02,0,,,
2.22E+02,0,,,
2.22E+02,0,,,
2.23E+02,0,,,
2.24E+02,0,,,
2.24E+02,0,,,
2.25E+02,0,,,
2.25E+02,0,,,
2.26E+02,0,,,
2.27E+02,0,,,
2.27E+02,0,,,
2.28E+02,0,,,
2.28E+02,0,,,
2.29E+02,0,,,
2.30E+02,0,,,
2.30E+02,0,,,
2.31E+02,0,,,
2.31E+02,0,,,
2.32E+02,0,,,
2.33E+02,0,,,
2.33E+02,0,,,
2.34E+02,0,,,
2.34E+02,0,,,
2.35E+02,0,,,
2.36E+02,0,,,
2.36E+02,0,,,
2.37E+02,0,,,
2.37E+02,0,,,
2.38E+02,0,,,
2.39E+02,0,,,
2.39E+02,0,,,
2.40E+02,0,,,
2.40E+02,0,,,
2.41E+02,0,,,
2.42E+02,0,,,
2.42E+02,0,,,
2.43E+02,0,,,
2.43E+02,0,,,
2.44E+02,0,,,
2.45E+02,0,,,
2.45E+02,0,,,
2.46E+02,0,,,
2.46E+02,0,,,
2.47E+02,0,,,
2.48E+02,0,,,
2.48E+02,0,,,
2.49E+02,0,,,
2.49E+02,0,,,
2.50E+02,0,,,
2.51E+02,0,,,
2.51E+02,0,,,
2.52E+02,0,,,
2.52E+02,0,,,
2.53E+02,0,,,
2.54E+02,0,,,
2.54E+02,0,,,
2.55E+02,0,,,
2.55E+02,0,,,
2.56E+02,0,,,
2.57E+02,0,,,
2.57E+02,0,,,
2.58E+02,0,,,
2.58E+02,0,,,
2.59E+02,0,,,
2.60E+02,0,,,
2.60E+02,0,,,
2.61E+02,0,,,
2.61E+02,0,,,
2.62E+02,0,,,
2.63E+02,0,,,
2.63E+02,0,,,
2.64E+02,0.00001,,,
2.64E+02,0,,,
2.65E+02,0,,,
2.66E+02,0,,,
2.66E+02,0,,,
2.67E+02,0,,,
2.67E+02,0,,,
2.68E+02,0,,,
2.69E+02,0,,,
2.69E+02,0,,,
2.70E+02,0,,,
2.70E+02,0,,,
2.71E+02,0,,,
2.72E+02,0,,,
2.72E+02,0,,,
2.73E+02,0,,,
2.73E+02,0,,,
2.74E+02,0,,,
2.75E+02,0,,,
2.75E+02,0,,,
2.76E+02,0,,,
2.76E+02,0,,,
2.77E+02,0,,,
2.78E+02,0,,,
2.78E+02,0,,,
2.79E+02,0,,,
2.79E+02,0,,,
2.80E+02,0,,,
2.81E+02,0,,,
2.81E+02,0,,,
2.82E+02,0,,,
2.82E+02,0,,,
2.83E+02,0,,,
2.84E+02,0,,,
2.84E+02,0,,,
2.85E+02,0,,,
2.85E+02,0,,,
2.86E+02,0,,,
2.87E+02,0,,,
2.87E+02,0,,,
2.88E+02,0,,,
2.88E+02,0,,,
2.89E+02,0,,,
2.90E+02,0,,,
2.90E+02,0,,,
2.91E+02,0,,,
2.91E+02,0,,,
2.92E+02,0,,,
2.93E+02,0,,,
2.93E+02,0,,,
2.94E+02,0,,,
2.94E+02,0,,,
2.95E+02,0,,,
2.96E+02,0,,,
2.96E+02,0,,,
2.97E+02,0,,,
2.97E+02,0,,,
2.98E+02,0,,,
2.99E+02,0,,,
2.99E+02,0,,,
3.00E+02,0,,,
