X,Y,Edep
1,163,2.19222E-30
1,164,7.56611E-31
1,165,1.60285E-30
1,166,1.13556E-30
1,167,1.63668E-30
1,168,2.68328E-30
1,169,9.20374E-31
1,170,1.23003E-30
1,171,3.73609E-30
1,172,6.62482E-30
1,173,9.32506E-31
1,174,4.34334E-31
1,175,1.27092E-30
1,176,1.95386E-30
1,177,1.81466E-30
1,178,9.20123E-31
1,179,3.47105E-29
1,180,1.07085E-30
1,181,1.4708E-30
1,182,4.27605E-30
1,183,1.4472E-30
1,184,1.72112E-30
1,185,1.48127E-30
1,186,2.18858E-30
1,187,2.81646E-30
1,188,2.75678E-30
1,189,2.99823E-30
1,190,3.29141E-30
1,191,1.71967E-29
1,192,1.33143E-31
1,193,2.52863E-31
1,194,6.4859E-31
1,195,2.66726E-30
1,196,3.02691E-31
1,197,3.64727E-33
1,198,2.03123E-30
1,199,1.00838E-31
2,0,3.07554E-31
2,1,2.26047E-30
2,2,4.15846E-31
2,3,1.49614E-30
2,4,8.09793E-31
2,5,7.15147E-31
2,6,6.66547E-31
2,7,3.60516E-31
2,8,2.33157E-30
2,9,3.12145E-31
2,10,3.02897E-31
2,11,2.40533E-30
2,12,4.83449E-30
2,13,2.27491E-30
2,14,3.49564E-30
2,15,1.27754E-30
2,16,5.23981E-31
2,17,3.2029E-31
2,18,1.59911E-30
2,19,1.59354E-30
2,20,7.90527E-31
2,21,3.88369E-31
2,22,3.67285E-31
2,23,8.38232E-32
2,24,3.41228E-31
2,25,9.55059E-31
2,26,1.46009E-30
2,27,6.95582E-31
2,28,1.3804E-30
2,29,3.34315E-31
2,30,4.19792E-31
2,31,9.15912E-31
2,32,1.8903E-30
2,33,1.59739E-30
2,34,1.3501E-30
2,35,1.55168E-30
2,36,1.54673E-30
2,37,1.10339E-30
2,38,2.42617E-30
2,39,7.56453E-31
2,40,2.66149E-30
2,41,2.47592E-30
2,42,1.21066E-30
2,43,1.17152E-30
2,44,1.47604E-30
2,45,1.11978E-30
2,46,1.36722E-30
2,47,2.53206E-30
2,48,5.36139E-31
