T/s,I_EBIC/A,I_prim/A,I_P/nA,I_se/nA
10.01666667,1.46549E-09,4.96954E-09,4.96954,1.465488468
10.03333333,1.46727E-09,4.93571E-09,4.93571,1.467274467
10.05,1.46906E-09,4.82457E-09,4.82457,1.469060466
10.06666667,1.47085E-09,4.82141E-09,4.82141,1.470846466
10.08333333,1.47263E-09,4.9779E-09,4.9779,1.472632465
10.1,1.47442E-09,5.08935E-09,5.08935,1.474418464
10.11666667,1.4762E-09,5.01604E-09,5.01604,1.476204464
10.13333333,1.47799E-09,4.84552E-09,4.84552,1.477990463
10.15,1.47978E-09,4.87025E-09,4.87025,1.479776462
10.16666667,1.48156E-09,5.06375E-09,5.06375,1.481562461
10.18333333,1.48335E-09,5.145E-09,5.145,1.483348461
10.2,1.48513E-09,5.09902E-09,5.09902,1.48513446
10.21666667,1.48692E-09,4.91791E-09,4.91791,1.486920459
10.23333333,1.48871E-09,4.93228E-09,4.93228,1.488706459
10.25,1.49996E-09,5.00573E-09,5.00573,1.499958331
10.26666667,1.51128E-09,5.132E-09,5.132,1.511282522
10.28333333,1.52261E-09,5.22894E-09,5.22894,1.522606713
10.3,1.53393E-09,5.03046E-09,5.03046,1.533930904
10.31666667,1.54526E-09,5.08669E-09,5.08669,1.545255095
10.33333333,1.55658E-09,5.36508E-09,5.36508,1.556579286
10.35,1.5679E-09,5.17997E-09,5.17997,1.567903477
10.36666667,1.57923E-09,5.22874E-09,5.22874,1.579227668
10.38333333,1.59055E-09,5.38477E-09,5.38477,1.590551859
10.4,1.60188E-09,5.34421E-09,5.34421,1.60187605
10.41666667,1.6132E-09,5.28535E-09,5.28535,1.61320024
10.43333333,1.62452E-09,5.34683E-09,5.34683,1.624524431
10.45,1.63967E-09,5.6773E-09,5.6773,1.639667788
10.46666667,1.65483E-09,5.4365E-09,5.4365,1.654826575
10.48333333,1.66999E-09,5.66223E-09,5.66223,1.669985362
10.5,1.68514E-09,5.5131E-09,5.5131,1.685144149
10.51666667,1.7003E-09,5.7476E-09,5.7476,1.700302936
10.53333333,1.71546E-09,5.63783E-09,5.63783,1.715461722
10.55,1.73062E-09,6.00768E-09,6.00768,1.730620509
10.56666667,1.74578E-09,5.80563E-09,5.80563,1.745779296
10.58333333,1.76094E-09,6.07083E-09,6.07083,1.760938083
10.6,1.7761E-09,5.91938E-09,5.91938,1.77609687
10.61666667,1.79126E-09,6.008E-09,6.008,1.791255657
10.63333333,1.80641E-09,6.26818E-09,6.26818,1.806414444
10.65,1.82224E-09,6.19789E-09,6.19789,1.822242674
10.66666667,1.83807E-09,6.20701E-09,6.20701,1.838074704
10.68333333,1.85391E-09,6.30425E-09,6.30425,1.853906734
10.7,1.86974E-09,6.11809E-09,6.11809,1.869738764
10.71666667,1.88557E-09,6.31258E-09,6.31258,1.885570794
10.73333333,1.9014E-09,6.3247E-09,6.3247,1.901402824
10.75,1.91723E-09,6.426E-09,6.426,1.917234854
10.76666667,1.93307E-09,6.61982E-09,6.61982,1.933066884
10.78333333,1.9489E-09,6.71643E-09,6.71643,1.948898914
10.8,1.96473E-09,6.8062E-09,6.8062,1.964730944
10.81666667,1.98056E-09,6.6178E-09,6.6178,1.980562974
10.83333333,1.9964E-09,6.8818E-09,6.8818,1.996395004
10.85,2.01804E-09,6.7742E-09,6.7742,2.018036715
10.86666667,2.03974E-09,6.76622E-09,6.76622,2.039735865
10.88333333,2.06144E-09,7.17008E-09,7.17008,2.061435015
10.9,2.08313E-09,7.04707E-09,7.04707,2.083134165
10.91666667,2.10483E-09,7.21675E-09,7.21675,2.104833315
10.93333333,2.12653E-09,7.20199E-09,7.20199,2.126532465
10.95,2.14823E-09,7.3741E-09,7.3741,2.148231615
10.96666667,2.16993E-09,7.54844E-09,7.54844,2.169930765
10.98333333,2.19163E-09,7.35041E-09,7.35041,2.191629915
11,2.21333E-09,7.52126E-09,7.52126,2.213329065
11.01666667,2.23503E-09,7.32394E-09,7.32394,2.235028215
11.03333333,2.25673E-09,7.8294E-09,7.8294,2.256727365
11.05,2.28821E-09,7.68755E-09,7.68755,2.288209717
11.06666667,2.31983E-09,8.05434E-09,8.05434,2.319825808
11.08333333,2.35144E-09,7.79671E-09,7.79671,2.351441899
11.1,2.38306E-09,7.86651E-09,7.86651,2.38305799
11.11666667,2.41467E-09,8.13846E-09,8.13846,2.414674082
11.13333333,2.44629E-09,8.26873E-09,8.26873,2.446290173
11.15,2.47791E-09,8.52322E-09,8.52322,2.477906264
11.16666667,2.50952E-09,8.54697E-09,8.54697,2.509522355
11.18333333,2.54114E-09,8.36532E-09,8.36532,2.541138447
11.2,2.57275E-09,8.92633E-09,8.92633,2.572754538
11.21666667,2.60437E-09,8.97263E-09,8.97263,2.604370629
11.23333333,2.63599E-09,8.87958E-09,8.87958,2.63598672
11.25,2.65043E-09,9.14114E-09,9.14114,2.650427235
11.26666667,2.66452E-09,9.06267E-09,9.06267,2.664522341
