section,coordinate_um,X,Y,Z,Edep
"x=0, y=0",0.03,0,100,106,1.0089181759087767e-05
"x=0, y=0",0.035,0,100,107,4.019977550494559e-05
"x=0, y=0",0.04,0,100,108,8.524294145603608e-06
"x=0, y=0",0.045,0,100,109,1.4204545696768302e-06
"x=0, y=0",0.05,0,100,110,9.097989627804957e-07
"x=0, y=0",0.055,0,100,111,2.598016190360807e-07
"x=0, y=0",0.06,0,100,112,3.748013721048838e-07
"x=0, y=0",0.065,0,100,113,1.6641476090695659e-07
"x=0, y=0",0.07,0,100,114,1.613382291362745e-31
"x=0, y=0",0.075,0,100,115,2.1090410818612847e-31
"x=0, y=0",0.08,0,100,116,3.4788181486312816e-31
"x=0, y=0",0.085,0,100,117,1.3354819026607543e-31
"x=0, y=0",0.09,0,100,118,5.332117442987317e-31
"x=0, y=0",0.095,0,100,119,4.347794380503495e-31
"x=0, y=0",0.1,0,100,120,1.5280332752038675e-31
"x=0, y=0",0.105,0,100,121,1.8741490368672552e-31
"x=0, y=0",0.11,0,100,122,3.3042604467712372e-31
"x=0, y=0",0.115,0,100,123,1.9807283263372968e-31
"x=0, y=0",0.12,0,100,124,1.733524088830792e-31
"x=0, y=0",0.125,0,100,125,1.9174835498323115e-31
"x=0, y=0",0.13,0,100,126,1.7582432580842995e-31
"x=0, y=0",0.135,0,100,127,6.724829505296797e-32
"x=0, y=0",0.14,0,100,128,7.6512895840177e-32
"x=0, y=0",0.145,0,100,129,2.0223149066168957e-31
"x=0, y=0",0.15,0,100,130,1.0809960061838919e-31
"x=0, y=0",0.155,0,100,131,1.986880937879249e-31
"x=0, y=0",0.16,0,100,132,9.291279759776533e-32
"x=0, y=0",0.165,0,100,133,1.719608927747124e-31
"x=0, y=0",0.17,0,100,134,8.120150921663039e-32
"x=0, y=0",0.175,0,100,135,6.107589033387564e-32
"x=0, y=0",0.18,0,100,136,1.315256620949443e-31
"x=0, y=0",0.185,0,100,137,4.058140747460376e-32
"x=0, y=0",0.19,0,100,138,9.706448619715482e-32
"x=0, y=0",0.195,0,100,139,4.385405598726535e-32
"x=0, y=0",0.2,0,100,140,4.046308051633544e-32
"x=0, y=0",0.205,0,100,141,5.243951383800281e-32
"x=0, y=0",0.21,0,100,142,1.2798951342689286e-31
