t_ns,T_centre_K,T_max_K
3.037735849056603654e-01,1.139155063522071032e+03,1.163428741785201055e+03
3.052410901467505489e-01,1.140277712536258377e+03,1.164562484590983559e+03
3.067085953878406768e-01,1.141392088969640554e+03,1.165687428454613837e+03
3.081761006289308047e-01,1.142498258245799661e+03,1.166803649441908647e+03
3.096436058700209881e-01,1.143596285146554010e+03,1.167911222794865125e+03
3.111111111111110605e-01,1.144686233821513497e+03,1.169010222944112229e+03
3.125786163522012440e-01,1.145768167797418755e+03,1.170100723521101600e+03
3.140461215932914274e-01,1.146842149987277253e+03,1.171182797370051048e+03
3.155136268343815553e-01,1.147908242699294306e+03,1.172256516559648389e+03
3.169811320754716832e-01,1.148966507645611500e+03,1.173321952394514028e+03
3.184486373165618667e-01,1.150017005950852081e+03,1.174379175426436859e+03
3.199161425576519946e-01,1.151059798160481705e+03,1.175428255465382108e+03
3.213836477987421225e-01,1.152094944248989350e+03,1.176469261590282258e+03
3.228511530398322504e-01,1.153122503627892684e+03,1.177502262159611064e+03
3.243186582809224339e-01,1.154142535153571771e+03,1.178527324821749971e+03
3.257861635220126173e-01,1.155155097134938160e+03,1.179544516525151721e+03
3.272536687631026897e-01,1.156160247340941396e+03,1.180553903528301362e+03
3.287211740041928731e-01,1.157158043007917513e+03,1.181555551409486498e+03
3.301886792452830566e-01,1.158148540846786091e+03,1.182549525076376312e+03
3.316561844863731290e-01,1.159131797050096566e+03,1.183535888775414833e+03
3.331236897274633124e-01,1.160107867298930159e+03,1.184514706101035017e+03
3.345911949685534403e-01,1.161076806769660607e+03,1.185486040004695496e+03
3.360587002096436238e-01,1.162038670140577324e+03,1.186449952803745191e+03
3.375262054507337517e-01,1.162993511598373061e+03,1.187406506190118989e+03
3.389937106918238796e-01,1.163941384844503546e+03,1.188355761238871310e+03
3.404612159329140630e-01,1.164882343101418201e+03,1.189297778416547089e+03
3.419287211740041910e-01,1.165816439118666722e+03,1.190232617589396114e+03
3.433962264150943189e-01,1.166743725178887644e+03,1.191160338031436595e+03
3.448637316561845023e-01,1.167664253103675719e+03,1.192080998432366641e+03
3.463312368972746302e-01,1.168578074259338109e+03,1.192994656905331340e+03
3.477987421383647582e-01,1.169485239562537117e+03,1.193901370994546596e+03
3.492662473794549416e-01,1.170385799485823554e+03,1.194801197682783595e+03
3.507337526205450695e-01,1.171279804063067331e+03,1.195694193398717289e+03
3.522012578616351974e-01,1.172167302894782097e+03,1.196580414024141646e+03
3.536687631027253809e-01,1.173048345153348691e+03,1.197459914901054617e+03
3.551362683438155088e-01,1.173922979588142880e+03,1.198332750838617358e+03
3.566037735849056922e-01,1.174791254530566221e+03,1.199198976119986582e+03
3.580712788259957646e-01,1.175653217898983485e+03,1.200058644509027999e+03
3.595387840670859481e-01,1.176508917203569126e+03,1.200911809256909919e+03
3.610062893081761315e-01,1.177358399551065304e+03,1.201758523108582267e+03
3.624737945492662039e-01,1.178201711649454410e+03,1.202598838309137818e+03
3.639412997903563873e-01,1.179038899812544969e+03,1.203432806610068837e+03
3.654088050314465708e-01,1.179870009964477731e+03,1.204260479275410034e+03
3.668763102725366987e-01,1.180695087644148998e+03,1.205081907087778745e+03
3.683438155136268266e-01,1.181514178009558691e+03,1.205897140354308249e+03
3.698113207547169545e-01,1.182327325842079745e+03,1.206706228912483766e+03
3.712788259958071380e-01,1.183134575550652244e+03,1.207509222135874552e+03
3.727463312368972659e-01,1.183935971175908435e+03,1.208306168939772760e+03
3.742138364779873938e-01,1.184731556394222935e+03,1.209097117786735453e+03
3.756813417190775772e-01,1.185521374521695861e+03,1.209882116692033833e+03
3.771488469601677607e-01,1.186305468518067300e+03,1.210661213229012219e+03
3.786163522012578331e-01,1.187083880990566286e+03,1.211434454534356746e+03
3.800838574423480165e-01,1.187856654197695434e+03,1.212201887313279485e+03
3.815513626834381444e-01,1.188623830052951917e+03,1.212963557844614570e+03
3.830188679245282724e-01,1.189385450128487037e+03,1.213719511985832241e+03
3.844863731656184558e-01,1.190141555658707603e+03,1.214469795177971719e+03
3.859538784067085837e-01,1.190892187543815908e+03,1.215214452450494719e+03
3.874213836477987671e-01,1.191637386353294005e+03,1.215953528426057119e+03
3.888888888888888951e-01,1.192377192329332502e+03,1.216687067325209910e+03
3.903563941299790230e-01,1.193111645390203194e+03,1.217415112971019198e+03
3.918238993710692064e-01,1.193840785133579629e+03,1.218137708793618458e+03
3.932914046121592788e-01,1.194564650839804699e+03,1.218854897834683925e+03
3.947589098532494623e-01,1.195283281475107742e+03,1.219566722751842462e+03
3.962264150943396457e-01,1.195996715694771865e+03,1.220273225823010762e+03
3.976939203354297736e-01,1.196704991846251914e+03,1.220974448950665192e+03
3.991614255765199015e-01,1.197408147972244706e+03,1.221670433666046620e+03
4.006289308176100850e-01,1.198106221813714910e+03,1.222361221133300660e+03
4.020964360587002129e-01,1.198799250812871378e+03,1.223046852153553800e+03
4.035639412997903408e-01,1.199487272116103668e+03,1.223727367168927913e+03
4.050314465408804687e-01,1.200170322576870603e+03,1.224402806266493371e+03
4.064989517819706522e-01,1.200848438758549719e+03,1.225073209182163055e+03
4.079664570230608356e-01,1.201521656937243279e+03,1.225738615304526775e+03
4.094339622641509080e-01,1.202190013104543596e+03,1.226399063678630455e+03
4.109014675052410914e-01,1.202853542970258559e+03,1.227054593009695964e+03
4.123689727463312749e-01,1.203512281965099646e+03,1.227705241666788879e+03
4.138364779874213473e-01,1.204166265243329462e+03,1.228351047686430775e+03
4.153039832285115307e-01,1.204815527685373127e+03,1.228992048776158754e+03
4.167714884696016586e-01,1.205460103900393278e+03,1.229628282318032916e+03
4.182389937106918421e-01,1.206100028228828933e+03,1.230259785372093347e+03
4.197064989517819700e-01,1.206735334744899092e+03,1.230886594679766858e+03
4.211740041928720979e-01,1.207366057259072022e+03,1.231508746667225523e+03
4.226415094339622813e-01,1.207992229320502020e+03,1.232126277448695191e+03
4.241090146750524092e-01,1.208613884219431839e+03,1.232739222829720120e+03
4.255765199161425372e-01,1.209231054989563518e+03,1.233347618310378493e+03
4.270440251572327206e-01,1.209843774410397828e+03,1.233951499088453829e+03
4.285115303983228485e-01,1.210452075009541886e+03,1.234550900062562505e+03
4.299790356394129764e-01,1.211055989064988353e+03,1.235145855835236489e+03
4.314465408805031599e-01,1.211655548607362789e+03,1.235736400715964464e+03
4.329140461215932878e-01,1.212250785422142826e+03,1.236322568724189296e+03
4.343815513626834157e-01,1.212841731051849138e+03,1.236904393592266842e+03
4.358490566037735992e-01,1.213428416798208218e+03,1.237481908768381572e+03
4.373165618448637271e-01,1.214010873724287421e+03,1.238055147419424657e+03
4.387840670859539105e-01,1.214589132656603397e+03,1.238624142433831139e+03
4.402515723270439829e-01,1.215163224187203696e+03,1.239188926424381407e+03
4.417190775681341663e-01,1.215733178675724048e+03,1.239749531730962190e+03
4.431865828092243498e-01,1.216299026251417899e+03,1.240305990423292997e+03
4.446540880503144222e-01,1.216860796815163667e+03,1.240858334303614811e+03
4.461215932914046056e-01,1.217418520041445618e+03,1.241406594909344903e+03
4.475890985324947891e-01,1.217972225380311102e+03,1.241950803515693906e+03
4.490566037735849170e-01,1.218521942059304820e+03,1.242490991138253094e+03
4.505241090146750449e-01,1.219067699085381491e+03,1.243027188535542336e+03
4.519916142557651728e-01,1.219609525246791918e+03,1.243559426211529853e+03
4.534591194968553562e-01,1.220147449114950859e+03,1.244087734418117179e+03
4.549266247379454842e-01,1.220681499046280578e+03,1.244612143157591845e+03
4.563941299790356121e-01,1.221211703184035059e+03,1.245132682185050498e+03
4.578616352201257955e-01,1.221738089460100355e+03,1.245649381010788602e+03
4.593291404612159790e-01,1.222260685596777421e+03,1.246162268902662845e+03
4.607966457023060514e-01,1.222779519108542445e+03,1.246671374888420814e+03
4.622641509433962348e-01,1.223294617303787845e+03,1.247176727758004063e+03
4.637316561844863627e-01,1.223806007286545309e+03,1.247678356065820026e+03
4.651991614255764906e-01,1.224313715958185412e+03,1.248176288132988020e+03
4.666666666666667296e-01,1.224817770019103818e+03,1.248670552049555226e+03
4.681341719077568020e-01,1.225318195970384977e+03,1.249161175676686526e+03
4.696016771488469299e-01,1.225815020115448533e+03,1.249648186648827277e+03
4.710691823899371689e-01,1.226308268561678460e+03,1.250131612375840859e+03
4.725366876310272413e-01,1.226797967222034231e+03,1.250611480045116423e+03
4.740041928721173692e-01,1.227284141816644023e+03,1.251087816623656181e+03
4.754716981132075526e-01,1.227766817874381786e+03,1.251560648860134279e+03
4.769392033542976805e-01,1.228246020734426793e+03,1.252030003286931333e+03
4.784067085953878085e-01,1.228721775547807738e+03,1.252495906222144868e+03
4.798742138364779919e-01,1.229194107278928868e+03,1.252958383771577473e+03
4.813417190775681198e-01,1.229663040707082246e+03,1.253417461830698358e+03
4.828092243186583588e-01,1.230128600427941592e+03,1.253873166086584206e+03
4.842767295597484312e-01,1.230590810855044765e+03,1.254325522019835944e+03
4.857442348008385591e-01,1.231049696221256227e+03,1.254774554906474577e+03
4.872117400419287425e-01,1.231505280580217914e+03,1.255220289819811796e+03
4.886792452830188704e-01,1.231957587807784421e+03,1.255662751632303525e+03
4.901467505241089984e-01,1.232406641603443632e+03,1.256101965017377552e+03
